Название тега,Цвет,Количество тем,Уникальных авторов,Общих просмотров,Средний рейтинг тем,Популярность
python,#3572A5,4,4,2,3.26,Низкая
javascript,#f1e05a,1,1,0,3.5,Низкая
html,#e34c26,1,1,0,3.5,Низкая
css,#563d7c,1,1,0,3.5,Низкая
django,#092e20,1,1,0,3.22,Низкая
flask,#000000,1,1,0,3.22,Низкая
sql,#e38c00,1,1,0,4.75,Низкая
nosql,#4db33d,0,0,0,0,Не используется
security,#ff0000,1,1,0,2.71,Низкая
beginner,#4caf50,2,2,0,3.62,Низкая
advanced,#ff9800,2,1,1,3.3,Низкая
tutorial,#2196f3,1,1,0,2.83,Низкая
